Date,Open,High,Low,Close,Adj Close,Volume
2023-09-29,620.349976,633.099976,616.799988,630.349976,630.349976,334281.0
2023-10-03,632.5,632.549988,618.650024,620.299988,620.299988,831383.0
2023-10-04,621.849976,621.849976,608.450012,613.5,613.5,643257.0
2023-10-05,619.450012,621.400024,614.5,619.549988,619.549988,302387.0
2023-10-06,628.0,628.0,620.0,622.099976,622.099976,413577.0
2023-10-09,621.450012,622.0,613.799988,617.400024,617.400024,226892.0
2023-10-10,620.0,632.5,618.200012,630.599976,630.599976,1046738.0
2023-10-11,632.25,637.650024,632.25,633.849976,633.849976,553727.0
2023-10-12,636.900024,640.450012,635.099976,636.849976,636.849976,196495.0
2023-10-13,634.950012,669.099976,633.049988,667.150024,667.150024,970594.0
2023-10-16,668.799988,677.900024,661.099976,666.099976,666.099976,1353054.0
2023-10-17,670.950012,670.950012,654.650024,655.75,655.75,399267.0
2023-10-18,659.349976,672.0,653.75,668.349976,668.349976,1237175.0
2023-10-19,663.400024,672.049988,658.700012,668.450012,668.450012,385287.0
2023-10-20,667.849976,676.549988,660.549988,662.700012,662.700012,429147.0
2023-10-23,664.0,666.700012,644.200012,647.349976,647.349976,411816.0
2023-10-25,649.200012,651.799988,636.099976,637.849976,637.849976,686070.0
2023-10-26,635.650024,635.650024,624.849976,626.450012,626.450012,960187.0
2023-10-27,630.0,644.049988,628.400024,640.700012,640.700012,873517.0
2023-10-30,643.700012,643.900024,622.0,628.25,628.25,878990.0
2023-10-31,642.5,642.5,627.150024,628.5,628.5,611547.0
2023-11-01,630.700012,633.950012,626.349976,627.349976,627.349976,551203.0
2023-11-02,633.150024,638.200012,630.049988,636.799988,636.799988,352552.0
2023-11-03,661.0,665.450012,646.0,647.799988,647.799988,2265004.0
2023-11-06,653.0,653.0,643.200012,645.950012,645.950012,899686.0
2023-11-07,645.450012,649.799988,643.799988,645.150024,645.150024,356829.0
2023-11-08,649.450012,649.450012,641.25,642.25,642.25,769192.0
2023-11-09,643.349976,653.450012,642.650024,649.049988,649.049988,323363.0
2023-11-10,649.900024,652.799988,644.099976,650.799988,650.799988,765764.0
2023-11-13,653.5,654.0,649.25,653.099976,653.099976,340813.0
2023-11-15,660.0,673.450012,656.650024,671.650024,671.650024,438757.0
2023-11-16,674.400024,685.25,670.599976,680.099976,680.099976,1421345.0
2023-11-17,684.0,687.549988,679.450012,681.0,681.0,568304.0
